,online_order,book_table,Ratings,Votes,Rest_Type,dish_liked,Cuisines,Cost_of_2_people,Type,City
164,1,0,4.6,228,13,3893,360,400.0,2,1
166,1,1,4.1,364,20,3248,1675,1200.0,2,1
167,1,0,3.7,107,9,2566,222,150.0,2,1
168,1,0,3.2,167,62,1630,1604,300.0,2,1
174,1,0,4.2,64,62,3899,1520,500.0,2,1
176,1,0,3.0,290,62,1117,1222,450.0,2,1
177,1,0,4.1,233,62,897,1638,200.0,2,1
178,1,0,3.8,115,62,3817,868,250.0,2,1
180,1,1,3.9,291,13,636,369,650.0,2,1
181,1,0,4.5,155,9,4556,229,300.0,2,1
182,1,0,4.1,305,20,3935,971,700.0,2,1
185,1,0,3.9,38,30,2140,955,150.0,2,1
186,1,0,3.9,441,62,265,1602,400.0,2,1
188,1,0,4.3,630,62,3575,1464,200.0,2,1
190,1,0,3.9,160,62,5213,84,300.0,2,1
191,1,0,4.2,287,62,3459,1163,350.0,2,1
193,1,0,4.1,402,13,5183,333,500.0,2,1
194,1,0,3.8,469,20,2824,1215,750.0,2,1
195,1,0,3.3,511,20,4669,166,550.0,2,1
198,1,0,3.9,264,62,2465,1557,200.0,2,1
199,1,0,3.0,62,13,489,445,400.0,2,1
200,1,0,3.8,693,20,4754,1484,750.0,2,1
201,1,0,3.8,242,20,3185,1095,650.0,2,1
203,1,0,4.1,163,62,5211,686,500.0,2,1
204,1,0,4.2,191,62,2804,1646,250.0,2,1
205,1,0,3.5,32,62,2125,1496,150.0,2,1
206,1,0,2.5,247,20,3483,1163,500.0,2,1
207,1,1,4.1,2339,20,5067,1213,1500.0,2,1
208,1,0,4.1,337,62,3274,549,300.0,2,1
209,1,0,3.9,135,20,4727,1229,800.0,2,1
210,1,0,3.6,172,20,265,1203,700.0,2,1
211,1,0,3.6,105,20,3791,1688,700.0,2,1
212,1,0,4.2,504,13,5182,486,550.0,2,1
217,1,1,4.3,1129,20,3930,1015,1300.0,2,1
219,1,0,4.3,860,30,3155,794,500.0,2,1
220,1,0,3.8,412,20,2658,77,700.0,2,1
221,1,1,3.9,142,20,3004,1099,1000.0,2,1
223,1,0,3.6,143,20,4066,1564,750.0,2,1
226,1,0,4.4,181,9,3678,232,250.0,2,1
227,1,0,3.8,70,62,4780,1461,200.0,2,1
228,1,0,3.8,164,62,3972,1486,600.0,2,1
229,1,0,3.6,58,62,577,367,650.0,2,1
230,0,0,3.8,148,22,3562,1201,550.0,2,1
231,0,0,3.9,206,62,1027,1595,450.0,2,1
235,0,0,3.7,217,20,853,1288,450.0,2,1
237,0,0,3.8,148,62,4493,878,150.0,2,1
248,1,0,2.9,177,20,4034,1218,700.0,2,1
251,1,0,3.7,136,62,5120,1517,600.0,2,1
253,1,0,4.1,185,62,1991,1028,200.0,2,1
255,1,0,3.8,155,20,3743,1607,400.0,2,1
256,1,0,3.8,42,62,4319,1599,300.0,2,1
257,1,0,3.8,286,20,3316,1163,600.0,2,1
258,1,0,3.8,160,20,2823,1203,700.0,2,1
259,1,0,3.8,59,20,4745,1203,750.0,2,1
262,1,0,4.0,89,62,2052,1561,200.0,2,1
264,1,0,3.9,40,20,2752,1287,600.0,2,1
265,1,0,2.5,35,62,106,822,200.0,2,1
268,1,0,3.6,62,65,3626,991,600.0,2,1
271,1,0,4.1,139,20,4311,1284,550.0,2,1
274,1,0,3.7,237,62,984,1581,200.0,2,1
275,1,0,3.9,388,20,1034,300,650.0,2,1
277,1,0,3.9,128,20,2763,1578,500.0,2,1
278,1,1,4.1,1875,20,1540,1166,1200.0,2,1
279,1,0,3.8,90,13,2180,333,650.0,2,1
282,1,0,4.2,179,29,5123,1475,600.0,2,1
284,1,0,4.3,275,62,2514,1557,100.0,2,1
285,1,0,3.7,323,20,3296,611,850.0,2,1
290,1,0,4.3,322,20,5089,1557,400.0,2,1
291,1,0,2.6,157,13,1724,347,450.0,2,1
292,1,0,3.9,543,62,2463,1581,300.0,2,1
293,1,0,3.7,180,13,3859,497,500.0,2,1
294,1,0,4.2,444,62,4784,1557,100.0,2,1
295,1,0,3.9,134,62,3502,1657,400.0,2,1
296,1,0,3.8,577,20,5113,1429,900.0,2,1
298,1,0,3.9,144,20,2699,1275,550.0,2,1
299,1,0,4.1,787,20,2950,596,800.0,2,1
301,1,0,3.6,84,62,1673,1599,250.0,2,1
303,1,1,4.0,349,20,4625,1529,1200.0,2,1
304,1,0,3.7,248,62,4838,1334,400.0,2,1
305,1,0,4.1,216,13,3644,392,500.0,2,1
307,1,0,4.0,324,13,3882,463,700.0,2,1
308,1,0,2.6,231,62,12,1277,400.0,2,1
309,1,0,3.4,102,20,4134,1601,400.0,2,1
310,1,0,3.9,133,13,2954,442,800.0,2,1
311,1,0,2.8,45,20,3778,1493,800.0,2,1
313,1,0,3.8,75,62,4518,841,200.0,2,1
314,1,0,4.0,53,29,2562,1119,600.0,2,1
315,1,1,4.2,815,20,424,1203,900.0,2,1
316,1,1,4.0,633,20,2311,1203,800.0,2,1
317,1,0,3.5,56,30,5157,964,400.0,2,1
322,1,0,3.9,70,30,5133,851,400.0,2,1
323,1,0,3.9,91,13,2932,440,300.0,2,1
330,1,0,3.8,77,13,2121,402,650.0,2,1
333,1,0,3.8,210,20,758,1242,600.0,2,1
334,1,0,4.1,130,13,3926,474,650.0,2,1
335,1,0,4.1,30,9,2749,232,100.0,2,1
336,1,0,3.8,144,13,3624,534,700.0,2,1
338,1,0,3.7,133,20,4348,609,700.0,2,1
339,1,0,4.0,136,62,5046,1581,350.0,2,1
342,1,0,3.8,74,62,1681,1599,300.0,2,1
346,1,0,3.7,54,13,3654,360,600.0,2,1
350,1,0,3.4,58,13,2687,437,400.0,2,1
351,1,0,3.6,129,20,4623,1097,600.0,2,1
355,1,0,3.5,41,44,3797,1485,400.0,2,1
357,1,0,4.1,176,20,459,68,800.0,2,1
359,1,0,3.7,47,66,400,849,400.0,2,1
360,1,1,3.7,36,20,5118,588,650.0,2,1
374,1,0,3.9,101,62,4783,1557,150.0,2,1
375,1,1,4.1,442,60,3779,694,1200.0,2,1
390,1,0,3.8,53,62,5188,959,250.0,2,1
395,1,0,4.0,232,62,2330,1571,400.0,2,1
396,1,0,3.9,221,20,2710,522,700.0,2,1
397,1,1,4.1,1063,21,3665,993,1200.0,2,1
398,1,0,3.7,93,62,2841,1638,200.0,2,1
399,1,0,3.9,233,20,1754,1013,800.0,2,1
400,1,0,3.9,211,20,4420,845,500.0,2,1
401,1,0,4.0,1778,62,1740,1453,200.0,2,1
402,1,0,3.6,218,20,5063,1284,800.0,2,1
403,1,0,3.7,514,13,3903,459,600.0,2,1
404,1,1,4.0,866,20,2921,1303,900.0,2,1
405,1,0,3.2,96,62,3523,1163,400.0,2,1
406,1,0,3.5,80,62,4204,1680,250.0,2,1
407,1,0,4.0,73,0,2684,194,300.0,2,1
408,1,0,3.9,84,69,1820,1128,400.0,2,1
409,1,0,3.5,88,62,1114,1602,350.0,2,1
410,1,0,3.5,179,20,2292,1215,600.0,2,1
411,1,0,3.8,61,62,4746,1027,100.0,2,1
412,1,0,3.7,128,20,1955,1227,450.0,2,1
413,1,0,3.8,339,62,4136,1599,400.0,2,1
414,1,0,4.1,449,62,2833,1638,100.0,2,1
415,1,0,4.1,210,32,1998,211,150.0,2,1
417,1,0,3.0,213,62,3186,1436,400.0,2,1
418,1,0,3.2,208,12,2239,1662,250.0,2,1
419,1,0,3.8,70,62,2784,1557,100.0,2,1
420,1,0,4.0,219,13,3858,456,600.0,2,1
421,1,0,3.7,59,62,3512,1461,200.0,2,1
424,1,0,3.7,124,20,293,293,750.0,2,1
456,1,1,4.1,775,20,3628,1393,800.0,2,1
457,1,1,4.2,2022,20,5057,1424,1000.0,2,1
460,1,1,4.2,150,13,2905,463,600.0,2,1
461,1,0,4.0,232,20,3420,1203,750.0,2,1
464,1,1,3.5,431,20,2176,1163,800.0,2,1
465,1,1,4.2,2115,20,3911,1491,800.0,2,1
467,1,0,4.2,150,20,2589,1163,800.0,2,1
469,1,0,3.8,155,20,3732,1607,450.0,2,1
471,1,1,4.1,666,21,40,50,1000.0,2,1
473,1,0,3.9,240,13,2150,333,700.0,2,1
474,1,0,3.8,918,16,1409,485,800.0,2,1
475,1,0,4.0,465,20,799,1607,600.0,2,1
476,1,1,4.1,970,54,1546,1320,1500.0,2,1
477,1,0,3.3,128,62,2611,1203,300.0,2,1
478,1,0,3.6,241,62,2996,1203,300.0,2,1
480,1,0,4.3,734,62,3466,1607,200.0,2,1
481,1,0,3.8,130,62,304,1188,400.0,2,1
482,1,0,4.2,261,13,4523,390,700.0,2,1
483,1,0,4.0,191,62,265,1608,300.0,2,1
484,1,0,4.1,364,20,2775,1576,550.0,2,1
487,1,0,3.9,888,20,4720,1442,750.0,2,1
489,1,0,3.9,750,20,1734,1284,500.0,2,1
490,1,1,4.2,164,13,1733,381,500.0,2,1
493,1,0,3.8,527,20,2747,1163,500.0,2,1
494,0,0,4.3,345,30,2348,962,400.0,3,1
495,0,0,4.4,356,69,1883,1123,150.0,3,1
497,1,0,3.9,38,30,2140,955,150.0,3,1
502,1,0,3.9,116,30,4508,965,400.0,3,1
503,1,0,3.8,918,16,1409,485,800.0,3,1
506,1,0,3.8,144,13,3624,534,700.0,3,1
508,1,0,4.3,860,30,3155,794,500.0,3,1
518,0,0,3.8,45,72,1787,175,400.0,3,1
533,1,0,3.9,70,30,5133,851,400.0,3,1
535,0,0,4.0,98,70,3125,1130,400.0,3,1
537,1,0,4.0,219,13,3858,456,600.0,3,1
538,1,0,4.0,73,0,2684,194,300.0,3,1
547,1,0,2.7,97,20,2752,1607,400.0,3,1
554,1,0,3.9,888,20,4720,1442,750.0,4,1
555,1,1,4.0,349,20,4625,1529,1200.0,4,1
556,1,0,4.2,287,62,3459,1163,350.0,4,1
557,1,1,4.6,2556,22,2005,1478,600.0,4,1
558,1,1,4.2,354,20,4769,151,800.0,4,1
559,1,1,4.1,775,20,3628,1393,800.0,4,1
560,1,1,4.2,2115,20,3911,1491,800.0,4,1
561,0,1,3.8,977,46,184,883,1300.0,4,1
562,0,0,4.1,868,57,238,706,1200.0,4,1
563,1,0,4.0,324,13,3882,463,700.0,4,1
564,1,0,4.1,787,20,2950,596,800.0,4,1
565,1,0,4.2,504,13,5182,486,550.0,4,1
566,1,0,4.1,402,13,5183,333,500.0,4,1
567,1,1,4.2,150,13,2905,463,600.0,4,1
568,1,1,4.2,164,13,1733,381,500.0,4,1
569,0,0,4.2,244,20,3647,1006,800.0,4,1
570,1,0,4.0,771,20,3472,1599,450.0,4,1
571,1,0,4.2,1647,20,3269,611,600.0,4,1
572,0,1,4.0,808,20,4407,1203,850.0,4,1
573,0,0,4.0,424,13,4460,384,450.0,4,1
574,1,0,3.9,135,20,4727,1229,800.0,4,1
577,1,0,3.8,918,16,1409,485,800.0,4,1
578,1,0,3.8,90,13,2180,333,650.0,4,1
579,1,0,3.9,519,20,5002,563,900.0,4,1
580,1,0,3.6,105,20,3791,1688,700.0,4,1
583,1,0,3.9,133,13,2954,442,800.0,4,1
584,1,0,3.8,144,13,3624,534,700.0,4,1
585,0,0,3.9,93,13,945,457,300.0,4,1
586,1,0,3.8,42,62,4319,1599,300.0,4,1
587,1,0,2.5,247,20,3483,1163,500.0,4,1
590,1,0,3.0,62,13,489,445,400.0,4,1
591,1,0,3.8,160,20,2823,1203,700.0,4,1
595,1,0,3.6,129,20,4623,1097,600.0,4,1
597,0,0,3.3,62,4,1283,1599,800.0,4,1
601,0,0,2.6,283,20,297,1163,600.0,4,1
605,1,0,3.8,59,20,4745,1203,750.0,4,1
606,1,0,3.5,179,20,2292,1215,600.0,4,1
607,0,0,3.8,62,62,2505,1571,150.0,4,1
615,0,0,3.0,98,4,3416,1203,800.0,4,1
618,0,0,2.7,128,20,831,606,850.0,4,1
620,1,0,2.8,45,20,3778,1493,800.0,4,1
629,1,0,3.5,41,44,3797,1485,400.0,4,1
630,1,0,3.7,405,20,3946,1484,750.0,4,1
631,1,0,3.9,388,20,1034,300,650.0,4,1
632,0,0,4.7,651,62,2815,1557,100.0,4,1
634,1,0,4.3,734,62,3466,1607,200.0,4,1
636,0,0,4.0,1047,62,3639,986,450.0,4,1
637,1,0,3.8,505,62,553,323,450.0,4,1
639,1,0,3.9,264,62,2465,1557,200.0,4,1
642,1,0,3.9,286,62,571,323,500.0,4,1
643,0,0,4.4,343,62,2782,1557,100.0,4,1
647,0,0,3.8,70,62,4845,826,500.0,4,1
649,1,0,3.8,70,62,2784,1557,100.0,4,1
654,1,0,3.7,237,62,984,1581,200.0,4,1
656,1,0,4.1,201,62,2808,1607,300.0,4,1
657,1,0,2.8,506,62,605,1339,500.0,4,1
658,0,0,4.1,520,62,5101,249,300.0,4,1
661,0,0,3.7,88,62,2752,1597,300.0,4,1
663,1,0,3.7,136,62,5120,1517,600.0,4,1
666,0,0,3.9,88,62,2509,1557,250.0,4,1
672,0,0,3.8,189,62,1665,1557,300.0,4,1
676,0,0,3.8,39,62,2752,1573,350.0,4,1
677,1,0,3.9,540,62,3358,1484,800.0,4,1
678,0,0,3.6,71,62,5107,1424,250.0,4,1
686,1,0,3.5,88,62,1114,1602,350.0,4,1
690,1,0,3.0,87,62,2196,1486,600.0,4,1
694,1,0,4.2,415,62,4302,1197,500.0,4,1
695,1,0,3.3,128,62,2611,1203,300.0,4,1
696,0,0,4.1,94,62,1676,1557,100.0,4,1
698,0,0,3.7,65,62,3431,878,300.0,4,1
701,0,0,3.5,52,62,4306,1557,300.0,4,1
703,1,0,3.0,290,62,1117,1222,450.0,4,1
704,1,0,3.7,59,62,3512,1461,200.0,4,1
705,0,0,3.7,130,62,1735,1557,200.0,4,1
708,1,0,3.5,80,62,4204,1680,250.0,4,1
709,1,0,3.9,441,62,265,1602,400.0,4,1
760,1,0,3.6,84,62,1673,1599,250.0,4,1
761,0,0,4.0,42,62,942,1625,300.0,4,1
763,1,0,3.0,213,62,3186,1436,400.0,4,1
766,0,0,4.2,725,62,3060,1562,350.0,4,1
767,1,0,3.9,750,20,1734,1284,500.0,4,1
768,0,0,3.8,166,20,3435,1414,600.0,4,1
769,0,0,4.4,4460,62,2061,1557,150.0,4,1
770,0,0,3.9,153,20,1804,1557,350.0,4,1
771,1,0,3.8,469,20,2824,1215,750.0,4,1
772,1,0,4.1,364,20,2775,1576,550.0,4,1
773,1,0,3.8,286,20,3316,1163,600.0,4,1
774,1,0,3.8,527,20,2747,1163,500.0,4,1
775,1,0,3.9,101,62,4783,1557,150.0,4,1
776,1,0,4.1,558,62,254,1557,150.0,4,1
778,0,0,3.8,148,22,3562,1201,550.0,4,1
779,0,0,2.7,377,57,4906,1299,1100.0,4,1
780,0,0,3.9,206,62,1027,1595,450.0,4,1
782,0,0,3.9,100,62,1743,1599,300.0,4,1
783,1,0,4.2,444,62,4784,1557,100.0,4,1
784,0,0,3.9,133,20,1289,985,650.0,4,1
785,1,0,4.0,219,13,3858,456,600.0,4,1
786,0,0,4.2,253,62,2510,1557,250.0,4,1
788,0,0,3.7,61,20,3046,311,600.0,4,1
789,1,0,3.8,155,20,3743,1585,400.0,4,1
790,1,0,3.9,233,20,1754,1013,800.0,4,1
791,1,0,3.7,264,20,2482,1219,750.0,4,1
793,0,0,4.1,238,62,2811,1557,600.0,4,1
797,1,0,4.1,176,20,459,68,800.0,4,1
798,1,0,3.7,93,62,2841,1638,200.0,4,1
799,0,0,3.8,124,62,2835,1584,300.0,4,1
800,1,0,4.3,275,62,2514,1557,100.0,4,1
801,0,0,4.2,254,62,2813,1557,150.0,4,1
802,0,0,4.1,177,62,2047,1557,100.0,4,1
804,1,0,4.0,132,62,4558,822,200.0,4,1
806,1,0,3.8,74,62,1681,1599,300.0,4,1
808,1,0,3.6,172,20,265,1203,700.0,4,1
811,1,0,3.9,543,62,2463,1581,300.0,4,1
812,0,0,4.0,52,62,1662,1557,300.0,4,1
813,0,0,3.7,217,20,853,1288,450.0,4,1
817,0,0,3.9,111,20,3006,1265,700.0,4,1
818,1,0,3.8,133,62,1810,1646,200.0,4,1
819,0,0,3.8,39,62,2787,1597,250.0,4,1
820,0,0,4.0,64,62,817,1557,200.0,4,1
827,0,0,3.8,148,62,4493,878,150.0,4,1
830,0,0,3.8,55,44,343,597,300.0,4,1
855,0,1,3.8,977,46,184,883,1300.0,5,1
856,0,0,4.1,868,57,238,706,1200.0,5,1
858,0,0,3.3,62,4,1283,1599,800.0,5,1
861,0,0,3.0,98,4,3416,1203,800.0,5,1
862,0,0,2.7,377,57,4906,1299,1100.0,5,1
863,1,1,4.4,2487,57,2171,1350,900.0,0,2
864,1,1,4.2,1964,20,2724,87,1000.0,0,2
865,1,0,4.3,3178,20,1228,1409,750.0,0,2
866,1,0,3.3,455,20,1946,50,550.0,0,2
868,0,1,4.7,3845,20,2676,1332,1600.0,0,2
869,0,0,4.3,353,20,3294,1424,1200.0,0,2
870,0,1,4.1,1234,20,844,1431,800.0,0,2
871,1,1,4.1,1538,20,2371,165,1000.0,0,2
873,1,1,3.8,756,20,2622,1163,1000.0,0,2
874,1,1,4.0,347,20,4804,1302,1000.0,0,2
876,0,1,4.0,165,20,2147,1602,1000.0,0,2
877,0,0,3.3,177,20,865,1229,950.0,0,2
879,1,0,3.0,102,20,4894,1599,600.0,0,2
881,0,1,4.0,200,13,2906,384,700.0,1,2
882,1,0,3.9,102,13,709,353,450.0,1,2
884,1,0,3.7,171,13,1605,333,300.0,1,2
885,1,0,3.7,37,13,4976,360,400.0,1,2
886,1,0,3.9,40,41,5133,443,400.0,1,2
887,0,0,3.9,125,13,4342,447,500.0,1,2
888,1,0,3.9,49,13,1977,333,600.0,1,2
890,0,0,3.8,69,14,1648,351,700.0,1,2
893,0,0,3.9,78,13,456,333,350.0,1,2
895,1,0,2.7,48,65,4978,551,650.0,1,2
902,1,0,4.1,46,13,3697,503,600.0,1,2
903,0,0,4.0,129,13,2849,384,600.0,1,2
905,1,1,3.9,727,13,1707,417,800.0,1,2
907,0,0,4.1,521,13,3951,405,550.0,1,2
908,1,0,4.1,203,65,617,367,650.0,1,2
909,1,1,4.4,4381,22,982,1478,600.0,1,2
910,1,0,3.7,131,13,3987,505,400.0,1,2
912,1,0,3.7,46,13,2042,319,450.0,1,2
915,0,0,3.4,48,13,1714,437,550.0,1,2
919,1,0,3.7,127,13,3905,468,700.0,1,2
920,1,0,2.7,85,13,3876,497,500.0,1,2
922,1,0,4.5,1178,29,2328,936,500.0,2,2
923,1,0,3.7,335,20,1935,65,800.0,2,2
924,1,0,3.8,254,20,3030,283,800.0,2,2
927,1,0,4.1,63,72,4455,874,300.0,2,2
928,1,0,4.0,244,62,4062,203,400.0,2,2
932,1,0,2.9,255,62,3566,1163,250.0,2,2
933,1,0,4.5,549,30,409,778,400.0,2,2
934,1,0,4.1,775,62,3456,1607,300.0,2,2
936,1,0,3.6,208,72,1115,286,300.0,2,2
937,1,0,4.1,739,29,1284,567,500.0,2,2
938,1,0,3.8,310,62,1848,1163,400.0,2,2
940,1,0,4.0,126,62,2624,1163,150.0,2,2
941,1,0,4.1,427,72,3558,1399,500.0,2,2
942,1,0,4.0,197,62,2274,1163,300.0,2,2
943,1,0,4.1,601,62,3768,1487,700.0,2,2
944,1,0,3.9,488,72,5092,274,400.0,2,2
945,1,0,4.0,396,62,3735,1599,400.0,2,2
946,1,0,3.6,474,62,4932,1242,450.0,2,2
947,1,0,2.9,172,62,3513,1203,300.0,2,2
948,1,0,3.1,175,62,265,42,250.0,2,2
949,1,0,4.0,939,20,2963,560,600.0,2,2
950,1,0,3.9,173,62,4115,1471,250.0,2,2
951,1,0,3.9,77,62,1381,1163,400.0,2,2
952,1,0,3.9,326,13,3986,1202,200.0,2,2
953,1,0,3.3,212,62,336,237,350.0,2,2
954,1,0,4.1,464,62,2666,1186,300.0,2,2
955,1,0,3.3,628,29,4284,929,450.0,2,2
956,1,0,3.6,518,20,1688,1599,400.0,2,2
957,1,0,3.9,70,30,1352,772,350.0,2,2
958,1,0,3.9,62,62,2141,325,300.0,2,2
961,1,0,4.4,819,30,2340,962,400.0,2,2
965,1,1,4.2,1964,20,2724,87,1000.0,2,2
967,1,0,4.0,138,29,2297,236,650.0,2,2
968,1,0,3.3,455,20,1946,50,550.0,2,2
971,1,0,3.8,181,41,760,1188,600.0,2,2
974,1,0,3.6,43,62,2163,312,300.0,2,2
975,1,0,2.7,159,62,4045,1475,750.0,2,2
984,1,0,3.2,166,62,4339,1517,600.0,2,2
986,1,0,3.7,128,72,995,283,400.0,2,2
989,1,0,2.9,126,62,2566,567,300.0,2,2
991,1,0,4.0,952,62,1122,1362,400.0,2,2
993,1,0,3.8,472,62,735,324,600.0,2,2
994,1,1,4.0,739,20,989,297,800.0,2,2
996,1,0,3.9,255,20,1011,50,500.0,2,2
997,1,0,4.0,1974,20,2489,295,800.0,2,2
1000,1,1,4.2,1428,20,3405,64,800.0,2,2
1008,1,0,4.0,332,62,3171,1599,300.0,2,2
1009,1,1,4.0,199,62,3618,1486,700.0,2,2
1011,1,0,3.700448817952718,0,20,984,1382,600.0,2,2
1013,1,0,3.9,437,62,737,323,400.0,2,2
1014,1,0,3.8,207,20,1057,238,700.0,2,2
1015,1,1,4.4,4381,22,982,1478,600.0,2,2
1016,1,0,3.8,55,62,2783,1599,300.0,2,2
1018,1,0,4.0,597,62,3495,1163,400.0,2,2
1022,1,0,3.0,102,20,4894,1599,600.0,2,2
1023,1,0,3.9,189,62,1947,257,300.0,2,2
1024,1,0,3.7,131,13,3987,505,400.0,2,2
1025,1,0,4.2,373,20,3366,267,750.0,2,2
1026,1,0,3.9,435,20,2493,198,650.0,2,2
1028,1,0,4.1,292,20,1052,251,700.0,2,2
1029,1,0,3.6,137,62,2157,84,300.0,2,2
1030,1,0,3.2,133,20,4088,1216,500.0,2,2
1031,1,0,3.9,37,72,2067,1528,250.0,2,2
1032,1,0,3.7,170,62,1605,867,200.0,2,2
1034,1,0,3.6,794,20,2378,287,550.0,2,2
1035,1,0,4.6,404,20,1135,0,1000.0,2,2
1040,1,1,3.9,561,20,2731,1163,900.0,2,2
1041,1,1,3.9,486,13,3287,713,700.0,2,2
1045,1,0,3.9,320,20,1134,1203,650.0,2,2
1046,1,0,4.1,237,30,4247,796,500.0,2,2
1049,1,1,3.9,1227,20,4671,116,900.0,2,2
1051,1,0,4.0,95,29,2557,1119,600.0,2,2
1052,1,1,4.1,1538,20,2371,165,1000.0,2,2
1053,1,0,3.7,110,20,2641,43,800.0,2,2
1055,1,0,4.1,381,62,4331,84,250.0,2,2
1058,1,0,3.9,251,29,4282,1197,500.0,2,2
1059,1,0,3.0,353,62,2524,1292,400.0,2,2
1060,1,0,4.0,205,29,4096,1188,450.0,2,2
1061,1,0,3.9,183,62,4263,873,250.0,2,2
1062,1,0,3.9,99,30,453,962,400.0,2,2
1064,1,0,4.1,260,62,2571,1163,300.0,2,2
1065,1,0,3.9,355,62,916,1203,400.0,2,2
1066,1,0,4.1,83,62,24,861,400.0,2,2
1067,1,0,2.5,321,62,4677,1248,400.0,2,2
1068,1,0,3.9,362,20,2627,1163,600.0,2,2
1069,1,1,4.2,2166,60,1573,10,1200.0,2,2
1072,1,0,4.0,182,69,4127,1128,400.0,2,2
1076,1,1,3.8,500,20,379,1446,1000.0,2,2
1078,1,0,4.0,532,20,1075,612,800.0,2,2
1081,1,1,3.5,551,20,2487,1243,600.0,2,2
1083,1,0,4.2,421,20,1198,606,700.0,2,2
1086,1,0,3.7,662,20,2101,202,650.0,2,2
1088,1,0,3.8,54,62,1083,301,500.0,2,2
1089,1,0,4.1,92,62,2953,538,300.0,2,2
1093,1,0,3.7,36,29,984,283,600.0,2,2
